Player;Age;Tm;TS%;FTr;TRB%;AST%;STL%
Truck Robinson;26;NOJ;0,481;0,34;17;6,8;0,9
Randy Smith;29;BUF;0,521;0,326;5;22,2;2,4
Elvin Hayes;32;WSB;0,489;0,365;16,4;6,5;1,3
Dave Cowens;29;BOS;0,533;0,233;17;15,7;1,4
Bob McAdoo;26;NYK;0,567;0,412;16,4;13,4;1,4
Bernard King;21;NJN;0,511;0,277;11,8;9,9;1,7
Artis Gilmore;28;CHI;0,604;0,531;19;14;0,6
David Thompson;23;DEN;0,578;0,422;6,6;19,3;1,3
Rick Barry;33;GSW;0,509;0,243;7,5;22,6;2,4
Ricky Sobers;25;IND;0,514;0,328;5,3;27,7;2,5
Scott Wedman;25;KCK;0,55;0,213;8;9,7;1,5
Phil Smith;25;GSW;0,522;0,283;5,2;19,6;1,7
John Lucas;24;HOU;0,481;0,264;4,6;34,8;2,6
Marvin Webster;25;SEA;0,543;0,542;18,1;9,6;0,8
Jim Chones;28;CLE;0,503;0,225;14,7;6,5;0,8
Calvin Murphy;29;HOU;0,525;0,154;3;14,9;1,8
Wilbur Holland;26;CHI;0,483;0,217;5,6;16,8;2,7
Mickey Johnson;25;CHI;0,526;0,367;14;14,4;1,5
Larry Kenon;25;SAS;0,533;0,227;14,1;13,1;1,8
George Gervin;25;SAS;0,594;0,377;7,7;16,1;2,1
Dan Issel;29;DEN;0,571;0,425;14,9;16,1;1,6
John Havlicek;37;BOS;0,495;0,221;6;17,1;1,5
Bob Wilkerson;23;DEN;0,448;0,224;8,8;20,9;2
Norm Nixon;22;LAL;0,518;0,161;4,4;26;2,2
Swen Nater;28;BUF;0,543;0,274;19,9;11,4;0,7
Bob Dandridge;30;WSB;0,528;0,352;7,9;14,7;1,6
Mike Bantom;26;IND;0,525;0,327;10,7;12,2;1,6
Doug Collins;26;PHI;0,568;0,269;4,2;16,9;2
Marques Johnson;21;MIL;0,563;0,34;16,2;9,5;1,5
Brian Winters;25;MIL;0,503;0,201;4,8;20,2;2
Lionel Hollins;24;POR;0,482;0,25;5,3;19,6;2,6
Kevin Porter;27;NJN;0,516;0,3;3,6;41,9;1,9
Ron Boone;31;KCK;0,504;0,297;5,2;16,8;1,8
Wes Unseld;31;WSB;0,535;0,352;17,9;15,3;1,6
Walter Davis;23;PHO;0,577;0,312;9,6;16,5;1,9
Chris Ford;29;DET;0,51;0,198;5,4;19,7;2,9
Gus Williams;24;SEA;0,491;0,208;5,1;18;3,3
Eric Money;22;DET;0,531;0,248;4,3;21,1;2,1
M,L, Carr;27;DET;0,502;0,316;11,4;9,8;2,6
Gail Goodrich;34;NOJ;0,545;0,316;3,3;21,8;1,4
Don Buse;27;PHO;0,5;0,217;5;18,5;3,1
George McGinnis;27;PHI;0,521;0,452;16,2;17;2,4
Armond Hill;24;ATL;0,48;0,305;5;23,4;2,8
Norm Van Lier;30;CHI;0,495;0,48;6,1;27,6;2,7
Campy Russell;26;CLE;0,509;0,402;9,2;16,4;1,6
Henry Bibby;28;PHI;0,492;0,332;5;23;1,6
Foots Walker;26;CLE;0,496;0,345;6;23,7;3,3
Paul Westphal;27;PHO;0,565;0,311;3,4;28,5;2,4
Billy Paultz;29;SAS;0,568;0,313;14,3;11,5;0,7
Dwight Jones;25;HOU;0,496;0,3;13,7;5,8;1,5
Bobby Jones;26;DEN;0,616;0,364;13,4;14,5;2,5
Julius Erving;27;PHI;0,555;0,297;10;17,3;2,5
Dan Roundfield;24;IND;0,534;0,348;16,1;11,4;1,5
Dave Meyers;24;MIL;0,522;0,464;11,7;12,9;1,6
Sidney Wicks;28;BOS;0,505;0,355;14,2;10,1;1,3
George Johnson;29;NJN;0,438;0,257;15,7;6;1,4
Earl Monroe;33;NYK;0,541;0,259;4;21,2;1,1
John Gianelli;27;MIL;0,507;0,196;11,5;10,1;1
Steve Hawes;27;ATL;0,5;0,251;16,2;12,1;1,6
Lonnie Shelton;22;NYK;0,549;0,279;12,9;11,4;2,1
Tom Henderson;26;WSB;0,482;0,306;4,1;23,2;1,8
Bob Lanier;29;DET;0,58;0,333;16,2;14,9;1,6
Lou Hudson;33;LAL;0,525;0,178;4,2;11,6;1,9
Clifford Ray;29;GSW;0,594;0,511;17;8,3;1,5
Kareem Abdul-Jabbar;30;LAL;0,589;0,29;18,1;18,3;2,1
Dave Bing;34;BOS;0,508;0,315;4,8;19,2;1,6
Jack Sikma;22;SEA;0,509;0,328;15,4;8,3;1,4
Richard Washington;22;KCK;0,511;0,223;15;7,4;1,5
Dennis Johnson;23;SEA;0,486;0,461;6,8;14,8;2,4
John Drew;23;ATL;0,545;0,465;12,6;11,2;2,5
Johnny Davis;22;POR;0,511;0,3;4,1;13,3;1,7
Austin Carr;29;CLE;0,484;0,238;4,3;14,9;1,4
Paul Silas;34;SEA;0,437;0,401;15,6;8,5;1,4
John Shumate;25;DET;0,597;0,658;13,4;7,5;1,6
Bob Gross;24;POR;0,569;0,264;9,6;16,2;2,1
Billy Knight;25;BUF;0,558;0,402;9,5;11,5;1,8
Kevin Kunnert;26;HOU;0,46;0,16;17,1;6,2;1
Lucius Allen;30;KCK;0,488;0,26;5,5;22,8;1,9
Sam Lacey;29;KCK;0,494;0,317;15,4;18;2,5
Kevin Grevey;24;WSB;0,496;0,273;6,8;11;1,3
Rich Kelley;24;NOJ;0,571;0,48;17,2;14,5;1,9
Maurice Lucas;25;POR;0,502;0,273;15,3;11,9;1,3
Aaron James;25;NOJ;0,523;0,182;9,5;7,6;0,8
Moses Malone;22;HOU;0,559;0,535;22,3;2,1;1,1
Gar Heard;29;PHO;0,449;0,235;16;7,7;2,6
Mike Gale;27;SAS;0,51;0,172;5,6;21,7;3,3
Quinn Buckner;23;MIL;0,499;0,303;6,3;27,5;4
Sonny Parker;22;GSW;0,544;0,221;9,5;10,6;3
World B, Free;24;PHI;0,539;0,656;5,2;20,6;1,5
Pete Maravich;30;NOJ;0,492;0,22;4,2;26,1;2,2
Louie Dampier;33;SAS;0,531;0,153;3,1;17,6;1,9
Jim Cleamons;28;NYK;0,518;0,23;5,5;16,6;1,5
Chuck Williams;31;BUF;0,533;0,317;3,7;20,9;1,1
Elmore Smith;28;CLE;0,534;0,382;17,2;4,2;1,2
Leon Douglas;23;DET;0,527;0,517;15,3;7,7;1,3
Adrian Dantley;21;LAL;0,599;0,575;10,4;12,6;1,6
Butch Beard;30;NYK;0,544;0,261;6,9;21,5;2,6
Jim McMillian;29;NYK;0,507;0,215;7,6;12,8;1,7
Robert Parish;24;GSW;0,499;0,29;17,5;7;1,8
Fred Brown;29;SEA;0,528;0,188;4,9;19,9;2,6
Don Ford;25;LAL;0,497;0,156;9,3;9,1;1,6
Charlie Criss;29;ATL;0,496;0,394;3,4;22,5;2,6
Bill Walton;25;POR;0,554;0,279;20,7;22,8;1,4
Ron Lee;25;PHO;0,478;0,24;6,8;21,8;5
Alvan Adams;23;PHO;0,528;0,327;15,2;16,4;1,9
